record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type
46,7,18,1977,19,DM,M,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
47,7,18,1977,18,DM,M,32,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
48,7,18,1977,20,DM,F,36,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
49,7,18,1977,12,PP,F,17,NA,Chaetodipus,penicillatus,Rodent,Control
50,7,18,1977,18,DM,F,32,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
51,7,18,1977,21,DM,F,36,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
52,7,18,1977,12,DM,F,26,NA,Dipodomys,merriami,Rodent,Control
53,7,18,1977,22,DM,M,36,NA,Dipodomys,merriami,Rodent,Control
54,7,18,1977,18,DM,M,37,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
55,7,18,1977,23,DM,M,36,NA,Dipodomys,merriami,Rodent,Rodent Exclosure
56,7,18,1977,20,DM,M,34,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
57,7,18,1977,22,DM,NA,NA,NA,Dipodomys,merriami,Rodent,Control
58,7,18,1977,12,DS,M,45,NA,Dipodomys,spectabilis,Rodent,Control
59,7,18,1977,19,DM,M,33,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
60,7,18,1977,19,PE,M,20,NA,Peromyscus,eremicus,Rodent,Long-term Krat Exclosure
61,7,18,1977,23,DM,M,35,NA,Dipodomys,merriami,Rodent,Rodent Exclosure
62,7,18,1977,19,DM,M,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
63,8,19,1977,3,DM,M,35,40,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
64,8,19,1977,7,DM,M,37,48,Dipodomys,merriami,Rodent,Rodent Exclosure
65,8,19,1977,4,DM,F,34,29,Dipodomys,merriami,Rodent,Control
66,8,19,1977,4,DM,F,35,46,Dipodomys,merriami,Rodent,Control
67,8,19,1977,7,DM,M,35,36,Dipodomys,merriami,Rodent,Rodent Exclosure
68,8,19,1977,8,DO,F,32,52,Dipodomys,ordii,Rodent,Control
69,8,19,1977,2,PF,M,15,8,Perognathus,flavus,Rodent,Control
70,8,19,1977,3,OX,F,21,22,Onychomys,sp.,Rodent,Long-term Krat Exclosure
71,8,19,1977,7,DM,F,36,35,Dipodomys,merriami,Rodent,Rodent Exclosure
72,8,19,1977,2,NL,M,31,NA,Neotoma,albigula,Rodent,Control
73,8,19,1977,3,DS,F,44,NA,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
74,8,19,1977,8,PF,M,12,7,Perognathus,flavus,Rodent,Control
75,8,19,1977,8,DM,F,32,22,Dipodomys,merriami,Rodent,Control
76,8,19,1977,9,DS,F,47,NA,Dipodomys,spectabilis,Rodent,Spectab exclosure
77,8,19,1977,4,SS,NA,NA,NA,Spermophilus,spilosoma,Rodent,Control
78,8,19,1977,1,PF,M,16,9,Perognathus,flavus,Rodent,Spectab exclosure
79,8,19,1977,7,DM,F,34,42,Dipodomys,merriami,Rodent,Rodent Exclosure
80,8,19,1977,1,DS,M,48,NA,Dipodomys,spectabilis,Rodent,Spectab exclosure
81,8,19,1977,4,PF,F,14,8,Perognathus,flavus,Rodent,Control
82,8,19,1977,4,DM,F,35,41,Dipodomys,merriami,Rodent,Control
83,8,20,1977,6,DM,F,37,37,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
84,8,20,1977,19,DM,F,35,43,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
85,8,20,1977,23,DM,F,35,41,Dipodomys,merriami,Rodent,Rodent Exclosure
86,8,20,1977,18,DM,F,33,40,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
87,8,20,1977,5,PF,F,11,9,Perognathus,flavus,Rodent,Rodent Exclosure
88,8,20,1977,18,DM,F,35,45,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
89,8,20,1977,12,PP,F,20,15,Chaetodipus,penicillatus,Rodent,Control
90,8,20,1977,18,DM,M,35,29,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
91,8,20,1977,11,DS,F,50,NA,Dipodomys,spectabilis,Rodent,Control
92,8,20,1977,6,DM,M,35,39,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
93,8,20,1977,18,DM,NA,NA,42,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
94,8,20,1977,18,DM,F,36,43,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
95,8,20,1977,23,DM,M,38,46,Dipodomys,merriami,Rodent,Rodent Exclosure
96,8,20,1977,12,DM,M,36,41,Dipodomys,merriami,Rodent,Control
97,8,20,1977,18,DM,M,36,41,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
98,8,20,1977,5,DM,M,38,40,Dipodomys,merriami,Rodent,Rodent Exclosure
99,8,20,1977,11,DM,M,37,45,Dipodomys,merriami,Rodent,Control
100,8,20,1977,5,DS,F,54,NA,Dipodomys,spectabilis,Rodent,Rodent Exclosure
101,8,20,1977,5,DM,F,35,46,Dipodomys,merriami,Rodent,Rodent Exclosure
102,8,20,1977,23,DM,F,35,40,Dipodomys,merriami,Rodent,Rodent Exclosure
103,8,20,1977,18,DM,F,35,30,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
104,8,20,1977,11,DS,M,43,NA,Dipodomys,spectabilis,Rodent,Control
105,8,20,1977,19,DM,M,35,39,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
106,8,20,1977,12,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
107,8,20,1977,18,NL,NA,NA,NA,Neotoma,albigula,Rodent,Short-term Krat Exclosure
108,8,20,1977,11,PP,M,21,NA,Chaetodipus,penicillatus,Rodent,Control
109,8,20,1977,6,DM,M,35,34,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
110,8,20,1977,10,DS,NA,NA,NA,Dipodomys,spectabilis,Rodent,Rodent Exclosure
111,8,20,1977,11,DM,F,37,42,Dipodomys,merriami,Rodent,Control
112,8,20,1977,23,DM,M,37,42,Dipodomys,merriami,Rodent,Rodent Exclosure
113,8,20,1977,5,PF,F,13,8,Perognathus,flavus,Rodent,Rodent Exclosure
114,8,21,1977,15,DM,F,32,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
115,8,21,1977,21,DM,M,34,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
116,8,21,1977,13,DM,F,37,31,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
117,8,21,1977,21,OX,F,19,NA,Onychomys,sp.,Rodent,Long-term Krat Exclosure
118,8,21,1977,17,DM,M,33,NA,Dipodomys,merriami,Rodent,Control
119,8,21,1977,20,DM,M,35,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
120,8,21,1977,20,DM,M,35,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
121,8,21,1977,15,NL,NA,NA,NA,Neotoma,albigula,Rodent,Long-term Krat Exclosure
122,8,21,1977,22,DM,F,33,NA,Dipodomys,merriami,Rodent,Control
123,8,21,1977,17,DM,M,37,NA,Dipodomys,merriami,Rodent,Control
124,8,21,1977,14,DM,M,36,NA,Dipodomys,merriami,Rodent,Control
125,8,21,1977,22,DM,M,35,NA,Dipodomys,merriami,Rodent,Control
126,8,21,1977,20,DM,F,30,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
127,8,21,1977,14,DM,M,33,NA,Dipodomys,merriami,Rodent,Control
128,8,21,1977,15,DM,M,34,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
129,8,21,1977,14,DM,F,34,NA,Dipodomys,merriami,Rodent,Control
130,8,21,1977,16,DM,F,34,NA,Dipodomys,merriami,Rodent,Rodent Exclosure
131,8,21,1977,22,DM,M,37,NA,Dipodomys,merriami,Rodent,Control
132,8,21,1977,22,DM,F,33,NA,Dipodomys,merriami,Rodent,Control
133,8,21,1977,15,DM,M,37,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
134,8,21,1977,17,DS,F,45,NA,Dipodomys,spectabilis,Rodent,Control
135,8,21,1977,15,DM,F,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
136,8,21,1977,13,PF,F,16,NA,Perognathus,flavus,Rodent,Short-term Krat Exclosure
137,8,21,1977,20,DM,F,35,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
138,8,21,1977,22,DM,M,37,NA,Dipodomys,merriami,Rodent,Control
139,8,21,1977,14,PF,M,15,NA,Perognathus,flavus,Rodent,Control
140,8,21,1977,20,DM,M,33,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
141,8,21,1977,16,DM,M,36,NA,Dipodomys,merriami,Rodent,Rodent Exclosure
142,8,21,1977,17,DM,F,34,NA,Dipodomys,merriami,Rodent,Control
143,8,21,1977,15,DM,M,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
144,8,21,1977,15,DS,M,40,NA,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
145,8,21,1977,13,DM,F,37,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
146,8,21,1977,13,DM,F,36,40,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
147,8,21,1977,13,DM,M,37,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
148,8,21,1977,14,DM,M,37,NA,Dipodomys,merriami,Rodent,Control
149,8,21,1977,20,DS,M,50,NA,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
150,8,21,1977,21,DM,M,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
151,8,21,1977,13,DM,M,35,NA,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
152,8,21,1977,14,DM,M,38,NA,Dipodomys,merriami,Rodent,Control
153,8,21,1977,16,DS,F,50,NA,Dipodomys,spectabilis,Rodent,Rodent Exclosure
154,8,21,1977,20,DS,F,47,NA,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
155,8,21,1977,20,DS,NA,NA,NA,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
156,8,21,1977,21,DM,M,35,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
157,9,11,1977,20,DM,M,36,37,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
158,9,11,1977,22,DM,M,36,48,Dipodomys,merriami,Rodent,Control
159,9,11,1977,5,DS,M,53,NA,Dipodomys,spectabilis,Rodent,Rodent Exclosure
160,9,11,1977,21,DM,M,37,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
161,9,11,1977,5,DM,M,37,42,Dipodomys,merriami,Rodent,Rodent Exclosure
162,9,11,1977,6,DM,F,39,45,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
163,9,11,1977,12,PP,F,21,16,Chaetodipus,penicillatus,Rodent,Control
164,9,11,1977,22,DM,F,36,36,Dipodomys,merriami,Rodent,Control
165,9,11,1977,19,DS,F,50,NA,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
166,9,11,1977,21,OX,M,13,NA,Onychomys,sp.,Rodent,Long-term Krat Exclosure
167,9,11,1977,6,DM,M,36,42,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
168,9,11,1977,12,DM,M,36,44,Dipodomys,merriami,Rodent,Control
169,9,11,1977,5,DM,M,37,NA,Dipodomys,merriami,Rodent,Rodent Exclosure
170,9,11,1977,20,DM,F,36,41,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
171,9,11,1977,12,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
172,9,11,1977,22,PF,F,NA,8,Perognathus,flavus,Rodent,Control
173,9,11,1977,12,DM,F,36,40,Dipodomys,merriami,Rodent,Control
174,9,11,1977,12,DM,M,37,34,Dipodomys,merriami,Rodent,Control
175,9,11,1977,19,DM,M,33,40,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
176,9,11,1977,12,DS,M,45,NA,Dipodomys,spectabilis,Rodent,Control
177,9,11,1977,5,OX,F,NA,20,Onychomys,sp.,Rodent,Rodent Exclosure
178,9,11,1977,18,DM,M,33,44,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
179,9,11,1977,12,DM,M,37,44,Dipodomys,merriami,Rodent,Control
180,9,11,1977,6,DM,M,34,36,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
181,9,11,1977,20,DM,M,35,33,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
182,9,11,1977,21,DS,M,49,NA,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
183,9,11,1977,5,DM,F,37,46,Dipodomys,merriami,Rodent,Rodent Exclosure
184,9,11,1977,20,DS,M,52,NA,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
185,9,11,1977,12,OX,F,19,NA,Onychomys,sp.,Rodent,Control
186,9,11,1977,19,DM,F,34,35,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
187,9,12,1977,17,DM,M,36,46,Dipodomys,merriami,Rodent,Control
188,9,12,1977,14,DS,F,48,NA,Dipodomys,spectabilis,Rodent,Control
189,9,12,1977,17,DM,F,33,37,Dipodomys,merriami,Rodent,Control
190,9,12,1977,7,DM,M,36,34,Dipodomys,merriami,Rodent,Rodent Exclosure
191,9,12,1977,17,DS,M,47,NA,Dipodomys,spectabilis,Rodent,Control
192,9,12,1977,4,DM,F,36,45,Dipodomys,merriami,Rodent,Control
193,9,12,1977,7,PE,NA,NA,NA,Peromyscus,eremicus,Rodent,Rodent Exclosure
194,9,12,1977,11,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
195,9,12,1977,4,DS,M,50,NA,Dipodomys,spectabilis,Rodent,Control
196,9,12,1977,7,PF,F,15,7,Perognathus,flavus,Rodent,Rodent Exclosure
197,9,12,1977,14,DM,M,37,51,Dipodomys,merriami,Rodent,Control
198,9,12,1977,4,DM,M,35,39,Dipodomys,merriami,Rodent,Control
199,9,12,1977,11,DM,M,36,29,Dipodomys,merriami,Rodent,Control
200,9,12,1977,17,DS,F,52,NA,Dipodomys,spectabilis,Rodent,Control
201,9,12,1977,10,DS,M,47,NA,Dipodomys,spectabilis,Rodent,Rodent Exclosure
202,9,12,1977,17,DM,F,32,48,Dipodomys,merriami,Rodent,Control
203,9,12,1977,11,DM,M,38,46,Dipodomys,merriami,Rodent,Control
204,9,12,1977,16,DM,F,37,41,Dipodomys,merriami,Rodent,Rodent Exclosure
205,9,12,1977,16,DS,M,50,NA,Dipodomys,spectabilis,Rodent,Rodent Exclosure
206,9,12,1977,23,DS,F,52,NA,Dipodomys,spectabilis,Rodent,Rodent Exclosure
207,9,12,1977,16,DS,F,53,NA,Dipodomys,spectabilis,Rodent,Rodent Exclosure
208,9,12,1977,14,DM,M,37,45,Dipodomys,merriami,Rodent,Control
209,9,12,1977,17,DM,F,35,42,Dipodomys,merriami,Rodent,Control
210,9,12,1977,11,DM,F,36,53,Dipodomys,merriami,Rodent,Control
211,9,12,1977,4,DS,F,48,NA,Dipodomys,spectabilis,Rodent,Control
212,9,12,1977,16,PF,NA,NA,NA,Perognathus,flavus,Rodent,Rodent Exclosure
213,9,12,1977,14,DM,F,35,49,Dipodomys,merriami,Rodent,Control
214,9,12,1977,17,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
215,9,12,1977,14,DM,F,36,46,Dipodomys,merriami,Rodent,Control
216,9,12,1977,4,PF,F,13,9,Perognathus,flavus,Rodent,Control
217,9,13,1977,3,PP,F,19,15,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure
218,9,13,1977,1,PF,M,13,4,Perognathus,flavus,Rodent,Spectab exclosure
219,9,13,1977,13,DM,M,36,48,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
220,9,13,1977,2,DS,M,52,NA,Dipodomys,spectabilis,Rodent,Control
221,9,13,1977,3,DM,NA,NA,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
222,9,13,1977,1,DS,M,52,NA,Dipodomys,spectabilis,Rodent,Spectab exclosure
223,9,13,1977,8,DS,F,50,NA,Dipodomys,spectabilis,Rodent,Control
224,9,13,1977,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
225,9,13,1977,15,DM,NA,NA,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
226,9,13,1977,2,DM,M,37,51,Dipodomys,merriami,Rodent,Control
227,9,13,1977,15,DM,NA,NA,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
228,9,13,1977,9,DM,M,38,50,Dipodomys,merriami,Rodent,Spectab exclosure
229,9,13,1977,13,DM,M,35,44,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
230,9,13,1977,15,DM,NA,NA,NA,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
231,9,13,1977,15,DS,NA,NA,NA,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
232,9,13,1977,9,DS,M,48,NA,Dipodomys,spectabilis,Rodent,Spectab exclosure
233,9,13,1977,2,DM,M,25,44,Dipodomys,merriami,Rodent,Control
234,9,13,1977,9,DM,M,35,45,Dipodomys,merriami,Rodent,Spectab exclosure
235,9,13,1977,13,DM,F,37,45,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
236,9,13,1977,9,DS,F,47,NA,Dipodomys,spectabilis,Rodent,Spectab exclosure
237,9,13,1977,9,DS,F,50,NA,Dipodomys,spectabilis,Rodent,Spectab exclosure
238,9,13,1977,2,PE,M,20,19,Peromyscus,eremicus,Rodent,Control
239,9,13,1977,1,DS,M,48,NA,Dipodomys,spectabilis,Rodent,Spectab exclosure
240,9,13,1977,9,DS,F,53,NA,Dipodomys,spectabilis,Rodent,Spectab exclosure
241,9,13,1977,3,DS,NA,NA,NA,Dipodomys,spectabilis,Rodent,Long-term Krat Exclosure
242,9,13,1977,2,OX,M,19,22,Onychomys,sp.,Rodent,Control
243,10,16,1977,6,DM,F,38,44,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
244,10,16,1977,22,DM,F,36,42,Dipodomys,merriami,Rodent,Control
245,10,16,1977,2,DM,M,37,39,Dipodomys,merriami,Rodent,Control
246,10,16,1977,13,DM,M,37,47,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
247,10,16,1977,2,DS,M,54,NA,Dipodomys,spectabilis,Rodent,Control
248,10,16,1977,22,OT,M,NA,21,Onychomys,torridus,Rodent,Control
249,10,16,1977,13,DM,M,36,42,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
250,10,16,1977,18,DS,F,51,NA,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
251,10,16,1977,2,DM,M,36,49,Dipodomys,merriami,Rodent,Control
252,10,16,1977,6,DS,F,53,NA,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
253,10,16,1977,20,DM,M,38,39,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
254,10,16,1977,20,DM,F,36,43,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
255,10,16,1977,18,DM,M,35,50,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
256,10,16,1977,6,DM,M,36,41,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
257,10,16,1977,2,DM,M,37,47,Dipodomys,merriami,Rodent,Control
258,10,16,1977,18,DM,F,36,37,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
259,10,16,1977,2,DM,M,36,41,Dipodomys,merriami,Rodent,Control
260,10,16,1977,22,DM,F,36,36,Dipodomys,merriami,Rodent,Control
261,10,16,1977,6,DM,M,36,45,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
262,10,16,1977,20,PE,M,19,20,Peromyscus,eremicus,Rodent,Short-term Krat Exclosure
263,10,16,1977,1,DM,M,37,40,Dipodomys,merriami,Rodent,Spectab exclosure
264,10,16,1977,9,DS,F,49,NA,Dipodomys,spectabilis,Rodent,Spectab exclosure
265,10,16,1977,9,DM,M,38,49,Dipodomys,merriami,Rodent,Spectab exclosure
266,10,16,1977,2,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
267,10,16,1977,22,DS,F,46,NA,Dipodomys,spectabilis,Rodent,Control
268,10,16,1977,2,DM,F,36,55,Dipodomys,merriami,Rodent,Control
269,10,16,1977,6,DM,M,37,46,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
270,10,16,1977,1,DM,F,36,38,Dipodomys,merriami,Rodent,Spectab exclosure
271,10,16,1977,9,DS,F,50,NA,Dipodomys,spectabilis,Rodent,Spectab exclosure
272,10,16,1977,18,NL,NA,NA,NA,Neotoma,albigula,Rodent,Short-term Krat Exclosure
273,10,16,1977,9,DM,M,37,44,Dipodomys,merriami,Rodent,Spectab exclosure
274,10,16,1977,2,OL,F,20,21,Onychomys,leucogaster,Rodent,Control
275,10,16,1977,20,DM,M,37,41,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
276,10,16,1977,1,DS,F,50,NA,Dipodomys,spectabilis,Rodent,Spectab exclosure
277,10,16,1977,6,OL,NA,20,21,Onychomys,leucogaster,Rodent,Short-term Krat Exclosure
278,10,16,1977,9,DS,M,50,NA,Dipodomys,spectabilis,Rodent,Spectab exclosure
279,10,16,1977,2,PE,F,19,NA,Peromyscus,eremicus,Rodent,Control
280,10,16,1977,18,DM,M,37,46,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
281,10,16,1977,20,NL,NA,NA,NA,Neotoma,albigula,Rodent,Short-term Krat Exclosure
282,10,16,1977,22,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
283,10,16,1977,6,DM,M,34,36,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
284,10,16,1977,13,DM,M,37,44,Dipodomys,merriami,Rodent,Short-term Krat Exclosure
285,10,16,1977,1,DM,M,36,53,Dipodomys,merriami,Rodent,Spectab exclosure
286,10,16,1977,20,DS,M,50,NA,Dipodomys,spectabilis,Rodent,Short-term Krat Exclosure
287,10,17,1977,17,DM,M,38,41,Dipodomys,merriami,Rodent,Control
288,10,17,1977,17,DM,M,37,48,Dipodomys,merriami,Rodent,Control
289,10,17,1977,14,DM,M,38,47,Dipodomys,merriami,Rodent,Control
290,10,17,1977,17,DM,F,33,NA,Dipodomys,merriami,Rodent,Control
291,10,17,1977,11,DS,F,47,NA,Dipodomys,spectabilis,Rodent,Control
292,10,17,1977,3,DO,F,36,33,Dipodomys,ordii,Rodent,Long-term Krat Exclosure
293,10,17,1977,4,DM,F,36,42,Dipodomys,merriami,Rodent,Control
294,10,17,1977,3,DO,F,37,50,Dipodomys,ordii,Rodent,Long-term Krat Exclosure
295,10,17,1977,11,DM,M,36,41,Dipodomys,merriami,Rodent,Control
296,10,17,1977,17,OT,NA,18,21,Onychomys,torridus,Rodent,Control
297,10,17,1977,11,NL,NA,NA,NA,Neotoma,albigula,Rodent,Control
298,10,17,1977,19,DM,M,36,49,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
299,10,17,1977,17,OT,M,19,NA,Onychomys,torridus,Rodent,Control
300,10,17,1977,14,DS,F,NA,NA,Dipodomys,spectabilis,Rodent,Control
301,10,17,1977,17,DS,F,48,NA,Dipodomys,spectabilis,Rodent,Control
302,10,17,1977,19,DM,F,36,44,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
303,10,17,1977,3,DM,M,36,31,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
304,10,17,1977,21,DM,M,37,40,Dipodomys,merriami,Rodent,Long-term Krat Exclosure
305,10,17,1977,14,DM,F,35,40,Dipodomys,merriami,Rodent,Control
306,10,17,1977,16,DM,M,33,23,Dipodomys,merriami,Rodent,Rodent Exclosure
